ID,date,month,weekday,hour,count,WEATHER_CODE
100,2016-07-03,7,Sunday,Evening,1,Not Applicable
100,2016-07-05,7,Tuesday,Night,1,Raining
100,2016-07-06,7,Wednesday,Evening,1,Not Applicable
100,2016-07-06,7,Wednesday,Morning,1,Clear
100,2016-07-07,7,Thursday,Afternoon,1,Clear
100,2016-07-08,7,Friday,Morning,1,Clear
100,2016-07-09,7,Saturday,Afternoon,2,Clear
100,2016-07-10,7,Sunday,Afternoon,1,Clear
100,2016-07-11,7,Monday,Evening,1,Clear
100,2016-07-14,7,Thursday,Evening,1,Clear
100,2016-07-15,7,Friday,Evening,1,Clear
100,2016-07-17,7,Sunday,Night,1,Clear
100,2016-07-18,7,Monday,Afternoon,1,Clear
100,2016-07-18,7,Monday,Morning,1,Clear
100,2016-07-21,7,Thursday,Night,1,Clear
100,2016-07-22,7,Friday,Evening,1,Clear
100,2016-07-23,7,Saturday,Afternoon,1,Clear
100,2016-07-23,7,Saturday,Evening,2,Clear
100,2016-07-23,7,Saturday,Morning,1,Clear
100,2016-07-24,7,Sunday,Afternoon,1,Clear
100,2016-07-24,7,Sunday,Night,1,Clear
100,2016-07-26,7,Tuesday,Evening,1,Clear
100,2016-07-27,7,Wednesday,Evening,1,Not Applicable
100,2016-07-30,7,Saturday,Evening,2,Cloudy
100,2016-07-31,7,Sunday,Afternoon,1,Clear
100,2016-08-01,8,Monday,Afternoon,1,Cloudy
100,2016-08-01,8,Monday,Morning,1,Not Applicable
100,2016-08-02,8,Tuesday,Night,1,Clear
100,2016-08-03,8,Wednesday,Morning,1,Clear
100,2016-08-05,8,Friday,Evening,1,Clear
100,2016-08-06,8,Saturday,Afternoon,1,Clear
100,2016-08-07,8,Sunday,Afternoon,2,Clear
100,2016-08-07,8,Sunday,Evening,1,Clear
100,2016-08-08,8,Monday,Afternoon,1,Clear
100,2016-08-08,8,Monday,Night,1,Clear
100,2016-08-11,8,Thursday,Evening,2,Clear
100,2016-08-11,8,Thursday,Morning,1,Clear
100,2016-08-12,8,Friday,Evening,1,Clear
100,2016-08-12,8,Friday,Night,1,Clear
100,2016-08-13,8,Saturday,Evening,1,Clear
100,2016-08-13,8,Saturday,Night,1,Clear
100,2016-08-14,8,Sunday,Night,1,Clear
100,2016-08-18,8,Thursday,Evening,1,Clear
100,2016-08-21,8,Sunday,Afternoon,1,Raining
100,2016-08-21,8,Sunday,Night,1,Clear
100,2016-08-24,8,Wednesday,Evening,1,Clear
100,2016-08-25,8,Thursday,Evening,1,Not Applicable
100,2016-08-25,8,Thursday,Night,1,Clear
100,2016-08-26,8,Friday,Evening,2,Clear
100,2016-08-26,8,Friday,Morning,1,Clear
100,2016-08-27,8,Saturday,Evening,1,Clear
100,2016-08-28,8,Sunday,Night,1,Clear
100,2016-08-30,8,Tuesday,Morning,1,Clear
100,2016-09-03,9,Saturday,Afternoon,2,Clear
100,2016-09-04,9,Sunday,Evening,2,Clear
100,2016-09-04,9,Sunday,Morning,2,Clear
100,2016-09-05,9,Monday,Afternoon,1,Not Applicable
100,2016-09-12,9,Monday,Evening,1,Not Applicable
100,2016-09-13,9,Tuesday,Evening,3,Clear
100,2016-09-15,9,Thursday,Evening,2,Clear
100,2016-09-16,9,Friday,Afternoon,1,Clear
100,2016-09-16,9,Friday,Evening,1,Clear
100,2016-09-18,9,Sunday,Morning,1,Clear
100,2016-09-27,9,Tuesday,Evening,1,Clear
100,2016-09-28,9,Wednesday,Evening,1,Raining
100,2016-09-29,9,Thursday,Afternoon,1,Cloudy
100,2016-09-30,9,Friday,Afternoon,1,Raining
1000,2016-04-25,4,Monday,Morning,1,Clear
1001,2016-01-11,1,Monday,Afternoon,1,Clear
1002,2016-09-03,9,Saturday,Morning,1,Raining
1003,2016-01-07,1,Thursday,Morning,1,Clear
1003,2016-01-17,1,Sunday,Night,1,Clear
1003,2016-01-22,1,Friday,Evening,1,Snow
1003,2016-02-03,2,Wednesday,Afternoon,1,Cloudy
1003,2016-02-08,2,Monday,Afternoon,1,Clear
1003,2016-02-16,2,Tuesday,Morning,1,Raining
1003,2016-02-22,2,Monday,Morning,1,Cloudy
1003,2016-03-17,3,Thursday,Night,1,Clear
1003,2016-03-25,3,Friday,Night,1,Clear
1003,2016-04-18,4,Monday,Afternoon,1,Clear
1003,2016-04-28,4,Thursday,Afternoon,1,Raining
1003,2016-06-06,6,Monday,Morning,1,Clear
1003,2016-06-07,6,Tuesday,Evening,1,Clear
1003,2016-06-16,6,Thursday,Morning,1,Cloudy
1003,2016-07-14,7,Thursday,Night,1,Clear
1003,2016-09-19,9,Monday,Evening,1,Raining
1003,2016-09-20,9,Tuesday,Morning,1,Raining
1003,2016-09-21,9,Wednesday,Evening,1,Not Applicable
1003,2016-09-27,9,Tuesday,Morning,1,Raining
1003,2016-09-30,9,Friday,Morning,1,Clear
1004,2016-01-04,1,Monday,Afternoon,1,Clear
1004,2016-01-18,1,Monday,Evening,1,Clear
1004,2016-02-13,2,Saturday,Evening,1,Clear
1004,2016-02-20,2,Saturday,Afternoon,1,Clear
1004,2016-03-04,3,Friday,Night,1,Snow
1004,2016-03-07,3,Monday,Afternoon,1,Clear
1004,2016-03-11,3,Friday,Morning,1,Not Applicable
1004,2016-03-19,3,Saturday,Night,1,Cloudy
1004,2016-03-27,3,Sunday,Night,1,Raining
1004,2016-04-15,4,Friday,Night,1,Clear
1004,2016-05-08,5,Sunday,Night,1,Clear
1004,2016-05-26,5,Thursday,Morning,1,Clear
1004,2016-05-29,5,Sunday,Morning,1,Clear
1004,2016-06-14,6,Tuesday,Evening,1,Clear
1004,2016-06-28,6,Tuesday,Afternoon,1,Raining
1004,2016-07-03,7,Sunday,Evening,1,Cloudy
1004,2016-07-25,7,Monday,Morning,1,Clear
1004,2016-08-23,8,Tuesday,Evening,1,Not Applicable
1004,2016-08-25,8,Thursday,Afternoon,1,Clear
1004,2016-08-30,8,Tuesday,Evening,1,Clear
1004,2016-09-16,9,Friday,Afternoon,1,Clear
1004,2016-09-27,9,Tuesday,Afternoon,1,Cloudy
1004,2016-09-30,9,Friday,Afternoon,1,Raining
1005,2016-01-13,1,Wednesday,Evening,1,Clear
1005,2016-01-15,1,Friday,Evening,1,Raining
1005,2016-01-17,1,Sunday,Evening,1,Wintry Mix
1005,2016-01-18,1,Monday,Night,1,Snow
1005,2016-01-21,1,Thursday,Evening,1,Clear
1005,2016-02-05,2,Friday,Afternoon,1,Clear
1005,2016-02-11,2,Thursday,Morning,1,Clear
1005,2016-02-15,2,Monday,Morning,1,Snow
1005,2016-02-20,2,Saturday,Afternoon,2,Clear
1005,2016-02-24,2,Wednesday,Night,1,Raining
1005,2016-03-04,3,Friday,Afternoon,1,Unknown
1005,2016-03-04,3,Friday,Morning,1,Snow
1005,2016-03-04,3,Friday,Night,1,Snow
1005,2016-03-09,3,Wednesday,Morning,1,Clear
1005,2016-03-14,3,Monday,Night,1,Cloudy
1005,2016-03-15,3,Tuesday,Evening,1,Clear
1005,2016-03-23,3,Wednesday,Afternoon,1,Clear
1005,2016-03-23,3,Wednesday,Morning,1,Clear
1005,2016-03-26,3,Saturday,Afternoon,1,Clear
1005,2016-04-03,4,Sunday,Afternoon,1,Severe Winds
1005,2016-04-04,4,Monday,Afternoon,2,Clear
1005,2016-04-16,4,Saturday,Evening,1,Clear
1005,2016-04-18,4,Monday,Evening,1,Clear
1005,2016-04-20,4,Wednesday,Morning,1,Clear
1005,2016-04-21,4,Thursday,Morning,1,Clear
1005,2016-04-25,4,Monday,Night,1,Clear
1005,2016-04-29,4,Friday,Afternoon,1,Clear
1005,2016-05-02,5,Monday,Afternoon,1,Clear
1005,2016-05-10,5,Tuesday,Morning,1,Cloudy
1005,2016-05-11,5,Wednesday,Night,1,Raining
1005,2016-05-19,5,Thursday,Afternoon,1,Clear
1005,2016-05-20,5,Friday,Afternoon,1,Clear
1005,2016-05-27,5,Friday,Afternoon,2,Clear
1005,2016-05-29,5,Sunday,Evening,2,Cloudy
1005,2016-05-30,5,Monday,Afternoon,2,Raining
1005,2016-06-06,6,Monday,Afternoon,1,Not Applicable
1005,2016-06-07,6,Tuesday,Evening,1,Clear
1005,2016-06-10,6,Friday,Afternoon,1,Clear
1005,2016-06-12,6,Sunday,Night,1,Clear
1005,2016-06-14,6,Tuesday,Evening,1,Clear
1005,2016-06-16,6,Thursday,Afternoon,1,Clear
1005,2016-06-20,6,Monday,Night,1,Clear
1005,2016-06-23,6,Thursday,Afternoon,1,Clear
1005,2016-06-23,6,Thursday,Morning,1,Not Applicable
1005,2016-06-26,6,Sunday,Evening,1,Clear
1005,2016-07-06,7,Wednesday,Morning,1,Clear
1005,2016-07-08,7,Friday,Morning,1,Clear
1005,2016-07-12,7,Tuesday,Afternoon,1,Clear
1005,2016-07-14,7,Thursday,Night,1,Clear
1005,2016-07-20,7,Wednesday,Evening,1,Not Applicable
1005,2016-07-23,7,Saturday,Night,1,Clear
